op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,rmse_per_scale
LOGISTIC,1012,32928.0,0.001253692,-4.1002055e-05,0.0039061306,1.5735355e-06,0.00390625,-128,model/tf.math.sigmoid_45/Sigmoid,0.32112804693455227
LOGISTIC,460,451584.0,0.0012496859,6.1121245e-05,0.0039062498,1.5676451e-06,0.00390625,-128,model/tf.math.sigmoid_8/Sigmoid,0.32052642523448827
LOGISTIC,1116,56448.0,0.0012176074,-0.00024904296,0.0033439547,1.5446785e-06,0.00390625,-128,model/tf.math.sigmoid_52/Sigmoid,0.3181698448564854
LOGISTIC,848,20.0,0.0011963933,-8.0298356e-05,0.0018669972,1.5382643e-06,0.00390625,-128,model/tf.math.sigmoid_34/Sigmoid,0.3175085654983185
LOGISTIC,592,188160.0,0.001239154,-4.396952e-05,0.00390625,1.5375216e-06,0.00390625,-128,model/tf.math.sigmoid_17/Sigmoid,0.31743190699361024
CONV_2D,560,144.0,0.012409684,-0.0002265627,0.033601187,0.00015533835,0.039294016,-21,model/tf.math.add_20/Add;model/tf.nn.convolution_14/convolution;Const_1291,0.3171852083913548
CONV_2D,868,21952.0,0.11761975,0.002286301,0.39060605,0.013840781,0.3733397,14,model/tf.math.add_52/Add;model/tf.nn.convolution_35/convolution;Const_761,0.3151201135630017
MUL,1296,62720.0,0.05301713,-0.015202727,0.08758297,0.003043919,0.17538777,-126,model/tf.math.multiply_187/Mul,0.31456995450552233
MUL,1148,48.0,0.01118209,-1.1976143e-05,0.017883224,0.00012774799,0.036331538,-120,model/tf.math.multiply_157/Mul,0.3110951602968904
LOGISTIC,656,47040.0,0.0011626323,0.0003301083,0.0039062288,1.4621827e-06,0.00390625,-128,model/tf.math.sigmoid_21/Sigmoid,0.30955711173739814
LOGISTIC,1176,56448.0,0.0011789603,0.00022352458,0.0036810425,1.4400462e-06,0.00390625,-128,model/tf.math.sigmoid_56/Sigmoid,0.307204927960474
MUL,376,8.0,0.00030279177,5.811534e-07,0.00053405477,1.1156712e-07,0.0010912715,127,model/tf.math.multiply_7/Mul,0.30608024335994105
CONV_2D,972,672.0,0.01254961,7.281912e-05,0.03449583,0.00015778416,0.041059323,40,model/tf.math.add_63/Add;model/tf.nn.convolution_42/convolution;Const_581,0.3059284855134432
MEAN,1136,1152.0,0.011979511,0.0010177186,0.028251844,0.00015199724,0.040299844,-121,model/tf.math.reduce_mean_13/Mean,0.30592465997261065
MUL,744,94080.0,0.014750667,0.0023861367,0.11840845,0.00022644308,0.049189236,-123,model/tf.math.multiply_78/Mul,0.30592111217452683
CONV_2D,440,96.0,0.0070644105,0.00023238601,0.017821494,5.131444e-05,0.023500958,-54,model/tf.math.add_8/Add;model/tf.nn.convolution_6/convolution;Const_1501,0.3048135230317417
CONV_2D,380,32.0,0.007316891,-0.0006590067,0.0121855475,5.5578686e-05,0.0244942,-47,model/tf.math.add_3/Add;model/tf.nn.convolution_2/convolution;Const_1611,0.304362314381015
CONV_2D,616,240.0,0.011859775,0.00029850673,0.03036731,0.00014141989,0.039119177,19,model/tf.math.add_25/Add;model/tf.nn.convolution_18/convolution;Const_1191,0.3039943683422212
CONV_2D,1212,1152.0,0.013546212,5.712843e-05,0.035256077,0.00018370656,0.044770747,39,model/tf.math.add_89/Add;model/tf.nn.convolution_58/convolution;Const_171,0.30273873492609804
CONV_2D,452,75264.0,0.23992905,-0.009242827,0.7809685,0.05766061,0.7954077,5,model/tf.math.add_9/Add;model/tf.nn.convolution_7/convolution;Const_1481,0.3018907632318094
DEPTHWISE_CONV_2D,352,401408.0,0.21662827,-0.022052407,0.69273543,0.047448706,0.72322893,13,model/tf.math.add_1/Add;model/tf.compat.v1.nn.depthwise_conv2d/depthwise;Const_1651,0.30118712049364044
CONV_2D,1092,1152.0,0.018323425,8.779318e-05,0.04555726,0.00033616793,0.060943328,19,model/tf.math.add_75/Add;model/tf.nn.convolution_50/convolution;Const_371,0.30085135609775115
LOGISTIC,976,672.0,0.0011689604,7.229059e-05,0.0019452001,1.3744428e-06,0.00390625,-128,model/tf.math.sigmoid_43/Sigmoid,0.3001257792006545
MUL,1072,56448.0,0.053734556,0.01840395,0.094451904,0.0032262355,0.18945323,-127,model/tf.math.multiply_143/Mul,0.29980993402598693
MUL,704,94080.0,0.022003608,0.0015318644,0.03681959,0.00048651584,0.073796935,-124,model/tf.math.multiply_70/Mul,0.2988891621450725
MEAN,480,144.0,0.004818694,7.8598125e-05,0.009325147,2.3671873e-05,0.016310465,-111,model/tf.math.reduce_mean_2/Mean,0.29829774371687984
MUL,1252,56448.0,0.050187454,-0.0034935314,0.081998214,0.0025310866,0.1689401,-126,model/tf.math.multiply_179/Mul,0.2977972996658704
CONV_2D,1152,1152.0,0.01642061,0.0001613114,0.039586686,0.00026997208,0.055175535,33,model/tf.math.add_82/Add;model/tf.nn.convolution_54/convolution;Const_271,0.29779189498834796
LOGISTIC,1128,56448.0,0.0011569456,8.717785e-05,0.0039048921,1.3462579e-06,0.00390625,-128,model/tf.math.sigmoid_53/Sigmoid,0.2970325869907206
CONV_2D,748,15680.0,0.13006558,0.0010880103,0.39487267,0.016920116,0.43881923,16,model/tf.math.add_38/Add;model/tf.nn.convolution_27/convolution;Const_961,0.29642581119654315
CONV_2D,508,75264.0,0.21824951,-0.0069252187,0.68026334,0.047683533,0.73672056,8,model/tf.math.add_14/Add;model/tf.nn.convolution_11/convolution;Const_1381,0.2964022000655156
